"519","F","EURX","Règles UEM\, cours variables"
"800","R","EURO","ЕВС - метод пересчета"
"502","J","I","域内取引換算レートタイプ"
"109","C","EURO","Předpis EMU\, fixní kurzy"
"800","R","EURX","ЕВС - метод пересчета - неучаств. валюты"
"502","J","M","電信売買仲値"
"519","F","G","conversion standard au cours ACHAT"
"109","C","EURX","Předpis EMU\, variabilní kurzy"
"800","R","G","Станд. пересчет по курсу покупателя"
"502","J","P","原価計画用標準標準換算レート"
"519","F","I","Type de cours IntraStat"
"109","C","G","Standard.přepočet k bank.nákup.kurzu"
"505","D","1001","Stichtagskurs"
"800","R","I","Тип курса: ИНТРАСТАТ"
"109","C","I","Typ kurzu IntraStat"
"519","F","M","conversion standard au cours MOYEN"
"505","D","1002","Durchschnittskurs"
"800","R","INT","Внутр. курс пересчета"
"505","D","1003","Historischer Kurs"
"109","C","M","Standard.přepočet ke kurzu střed"
"519","F","P","Conv. standard pr la budgét. des coûts"
"505","D","1004","Stichtagskurs des Vorjahres"
"800","R","M","СтандПересчет по средневзвешенному курсу"
"109","C","P","Standard.přepočet pro plánování nákladů"
"519","H","100*","Referenciaérték = kör értéke"
"505","D","1011","Stichtagskurs"
"800","R","P","СтандартПересчет для планирования затрат"
"505","D","1012","Durchschnittskurs"
"519","H","1001","Határnapi árfolyam"
"109","D","100*","Referenzwert = Kreiswert"
"800","S","001","T/C en fecha clave"
"519","H","1002","Átlagárfolyam"
"109","D","1001","Stichtagskurs"
"505","D","1013","Historischer Kurs"
"800","S","0011","T/C en fecha clave"
"519","H","1003","Történeti árfolyam"
"800","S","001D","T/C en fecha clave"
"109","D","1002","Durchschnittskurs"
"505","D","1014","Stichtagskurs des Vorjahres"
"109","D","1003","Historischer Kurs"
"800","S","0021","T/C en fecha clave"
"519","H","1004","Előző év határnapi árfolyama"
"505","D","2001","Stichtagskurs"
"800","S","0022","Cotización media"
"109","D","1004","Stichtagskurs des Vorjahres"
"519","H","200*","Referenciaérték = kör értéke"
"505","D","2002","Durchschnittskurs"
"800","S","100*","Vl.ref.=Vl.mon.ámb.consolidac."
"519","H","2001","Határnapi árfolyam"
"109","D","200*","Referenzwert = Kreiswert"
"800","S","1001","T/C en fecha clave"
"505","D","2003","Historischer Kurs"
"519","H","2002","Átlagárfolyam"
"109","D","2001","Stichtagskurs"
"800","S","1002","Cotización media"
"505","D","2004","Stichtagskurs des Vorjahres"
"800","S","1003","T/C histórico"
"519","H","2003","Történeti árfolyam"
"109","D","2002","Durchschnittskurs"
"505","D","2011","Stichtagskurs"
"109","D","2003","Historischer Kurs"
"800","S","1004","T/C en fecha clave ej.ant."
"519","H","2004","Előző év határnapi árfolyama"
"800","S","1011","T/C en fecha clave"
"505","D","2012","Durchschnittskurs"
"109","D","2004","Stichtagskurs des Vorjahres"
"800","S","1012","Cotización media"
"505","D","2013","Historischer Kurs"
"519","H","B","Standard átszámítás eladási árfolyamon"
"109","D","B","Standardumrechnung zum Briefkurs"
"800","S","1013","T/C histórico"
"519","H","EURO","EMU-előírás\, fix árfolyamok"
"800","S","1014","T/C en fecha clave ej.ant."
"109","D","CNTX","Standardumrechnung zum Mittelkurs"
"505","D","2014","Stichtagskurs des Vorjahres"
"519","H","EURX","EMU-előírás\, változó árfolyamok"
"800","S","200*","Vl.ref.=Vl.mon.ámb.consolidac."
"109","D","EURO","EWU-Vorschrift\, fixe Kurse"
"505","D","B","Standardumrechnung zum Briefkurs"
"800","S","2001","T/C en fecha clave"
"519","H","G","Standard átszámítás vételi árfolyamon"
"505","D","EURO","Standardumrechnung zum Mittelkurs"
"800","S","2002","Cotización media"
"109","D","EURX","EWU-Vorschrift\, variable Kurse"
"519","H","I","IntraStat árfolyamtípus"
"800","S","2003","T/C histórico"
"505","D","G","Standardumrechnung zum Geldkurs"
"109","D","G","Standardumrechnung zum Geldkurs"
"519","H","M","Standard átszámítás középárfolyamon"
"109","D","I","Kurstyp IntraStat"
"800","S","2004","T/C en fecha clave ej.ant."
"519","H","P","Standard átszámítás költségtervezéshez"
"800","S","2011","T/C en fecha clave"
"109","D","M","Standardumrechnung zum Mittelkurs"
"519","I","100*","Valore rif. = Valore cons."
"800","S","2012","Cotización media"
"109","D","P","Standardumrechnung für die Kostenplanung"
"800","S","2013","T/C histórico"
"519","I","1001","Cambio alla data chius. es."
"109","E","100*","Reference value = group value"
"519","I","1002","Cambio medio"
"800","S","2014","T/C en fecha clave ej.ant."
"505","D","M","Standardumrechnung zum Mittelkurs"
"519","I","1003","Cambio storico"
"109","E","1001","Current exchange rate"
"800","S","B","Conversión normal según T/C vendedor"
"505","D","P","Standardumrechnung für die Kostenplanung"
"519","I","1004","Cambio a data chius.es.preced."
"109","E","1002","Average exchange rate"
"505","E","1001","Rate on key date"
"800","S","EURB","UME: Conversión demanda/oferta"
"505","E","1002","Average rate"
"519","I","200*","Valore rif. = Valore cons."
"505","E","1003","Historical rate"
"800","S","EURG","UME: Conversión demanda/oferta"
"109","E","1003","Historical exchange rate"
"519","I","2001","Cambio alla data chius. es."
"505","E","1004","Rate on key date in previous year"
"519","I","2002","Cambio medio"
"800","S","EURO","UME: Método de conversión"
"109","E","1004","Current exch. rate prior year"
"519","I","2003","Cambio storico"
"505","E","1011","Rate on key date"
"109","E","200*","Reference value = group value"
"800","S","EURX","UME: Método de conversión no participa"
"505","E","1012","Average rate"
"519","I","2004","Cambio a data chius.es.preced."
"109","E","2001","Current exchange rate"
"505","E","1013","Historical rate"
"800","S","G","Conversión normal según T/C comprador"
"519","I","B","Conv. standard per cambio vendita"
"109","E","2002","Average exchange rate"
"519","I","EURO","Norma UME\, cambi fissi"
"800","S","I","Tipo de cotización IntraStat"
"505","E","1014","Rate on key date in previous year"
"505","E","2001","Rate on key date"
"519","I","EURX","Norma UME\, cambi variabili"
"109","E","2003","Historical exchange rate"
"800","S","INT","Tasa de compensación interna"
"505","E","2002","Average rate"
"519","I","G","Conv. standard per corso monetario"
"800","S","M","Conversión normal según T/C estándar"
"505","E","2003","Historical rate"
"109","E","2004","Current exch. rate prior year"
"519","I","I","Tipo di cambio IntraStat"
"800","S","P","Conversión estándar para planif.costes"
"505","E","2004","Rate on key date in previous year"
"109","E","B","Standard translation at bk.selling rate"
"519","I","M","Conv. standard per cambio medio"
"505","E","2011","Rate on key date"
"800","T","100*","Referans değer = Grup değeri"
"505","E","2012","Average rate"
"519","I","P","Conv. standard per pianif. dei costi"
"109","E","CNTX","Special exchange rate type for IIT (CN)"
"800","T","1001","Anahtar tarih kuru"
"505","E","2013","Historical rate"
"800","T","1002","Ortalama kur"
"519","J","100*","参照値 = グループ値"
"109","E","EURO","EMU regulation\, fixed exchange rates"
"505","E","2014","Rate on key date in previous year"
"800","T","1003","Tarihsel kur"
"519","J","1001","現換算レート"
"109","E","EURX","EMU regulation\, variable exchange rates"
"505","E","B","Standard conversion at bank selling rate"
"800","T","1004","Önceki yılın anahtar tarih kuru"
"519","J","1002","平均換算レート"
"505","E","EURO","Standard translation at average rate"
"109","E","G","Standard translation at bank buying rate"
"519","J","1003","取得時換算レート"
"800","T","200*","Referans değer = Grup değeri"
"505","E","G","Standard translation at bank buying rate"
"800","T","2001","Anahtar tarih kuru"
"109","E","I","Intrastat exchange rate type"
"519","J","1004","前年度換算レート"
"800","T","2002","Ortalama kur"
"505","E","M","Standard translation at average rate"
"109","E","M","Standard translation at average rate"
"519","J","200*","参照値 = グループ値"
"800","T","2003","Tarihsel kur"
"519","J","2001","現換算レート"
"505","E","P","Standard translation for cost planning"
"109","E","P","Standard translation for cost planning"
"800","T","2004","Önceki yılın anahtar tarih kuru"
"505","F","1001","Cours du jour"
"519","J","2002","平均換算レート"
"109","F","100*","Val. réf. = montants en devise périmètre"
"505","F","1002","Cours moyen"
"800","T","B","Satış kuru için standart çeviri"
"519","J","2003","取得時換算レート"
"505","F","1003","Cours historique"
"109","F","1001","Cours du jour (de référence)"
"800","T","EURO","APB talimatı\, kuru sabitle"
"519","J","2004","前年度換算レート"
"109","F","1002","Cours moyen"
"505","F","1004","Cours du jour de l'année précédente"
"519","J","B","電信売買売値"
"800","T","EURX","APB talimatı\, değişken kur"
"505","F","1011","Cours du jour"
"109","F","1003","Cours historique"
"505","F","1012","Cours moyen"
"519","J","EURO","EMU 規定 固定換算レート"
"800","T","G","Alış kuru için standart çeviri"
"505","F","1013","Cours historique"
"109","F","1004","Cours du jour de l'exercice précédent"
"800","T","I","IntraStat kurtipi"
"519","J","EURX","EMU 規定 変動換算レート"
"519","J","G","電信売買買値"
"505","F","1014","Cours du jour de l'année précédente"
"109","F","200*","Val. réf. = montants en devise périmètre"
"800","T","M","Ortalama kur için standart çeviri"
"505","F","2001","Cours de réf."
"519","J","I","域内取引換算レートタイプ"
"109","F","2001","Cours du jour (de référence)"
"505","F","2002","Cours moyen"
"800","T","P","Masraf planlaması için standart çeviri"
"519","J","M","電信売買仲値"
"505","F","2003","Cours historique"
"109","F","2002","Cours moyen"
"519","J","P","原価計画用標準標準換算レート"
"800","U","100*","Viitearvo = alueen arvo"
"109","F","2003","Cours historique"
"505","F","2004","Taux au jr arr.cpt. de l'ex. précédent"
"519","P","100*","Valor de referência = valor de área"
"800","U","1001","Määräpäivän kurssi"
"109","F","2004","Cours du jour de l'exercice précédent"
"505","F","B","Conversion standard au cours 'vente'"
"519","P","1001","Câmbio a data fixa"
"800","U","1002","Keskikurssi"
"519","P","1002","Câmbio médio"
"505","F","EURO","Conversion standard au cours moyen"
"800","U","1003","Historiallinen kurssi"
"109","F","B","conversion standard au cours VENTE"
"519","P","1003","Câmbio histórico"
"800","U","1004","Edellisen vuoden määräpäiväkurssi"
"505","F","G","Conversion standard au cours 'achat'"
"109","F","EURO","Règle UEM\, cours fixes"
"519","P","1004","Câmbio a data fixa do ano precedente"
"800","U","200*","Viitearvo = alueen arvo"
"505","F","M","Conversion standard au cours moyen"
"109","F","EURX","Règles UEM\, cours variables"
"519","P","200*","Valor de referência = valor de área"
"800","U","2001","Määräpäivän kurssi"
"505","F","P","Conversion standard pour planif. coûts"
"519","P","2001","Câmbio a data fixa"
"800","U","2002","Keskikurssi"
"109","F","G","conversion standard au cours ACHAT"
"505","J","1001","現換算レート"
