"800","EZB","EUR","SEK","80009872","0.86738","1","1"
"800","EZB","EUR","SEK","80009871","0.87642","1","1"
"800","EZB","EUR","SEK","80009870","0.87843","1","1"
"800","EZB","EUR","SEK","80009798","0.88199","1","1"
"800","EZB","EUR","SEK","80009797","0.88207","1","1"
"800","EZB","EUR","SEK","80009796","0.88207","1","1"
"800","EZB","EUR","SEK","80009795","0.88786","1","1"
"800","EZB","EUR","SEK","80009794","0.88558","1","1"
"800","EZB","EUR","SEK","80009791","0.88921","1","1"
"800","EZB","EUR","SEK","80009790","0.88238","1","1"
"800","EZB","EUR","SEK","80009569","0.94366","1","1"
"800","EZB","EUR","SEK","80009496","0.94438","1","1"
"800","EZB","EUR","SEK","80009493","0.92601","1","1"
"800","EZB","EUR","SEK","80009488","0.93179","1","1"
"800","EZB","EUR","SEK","80009486","0.94144","1","1"
"800","EZB","EUR","SEK","80009485","0.93668","1","1"
"800","EZB","EUR","SEK","80009482","0.93589","1","1"
"800","EZB","EUR","SEK","80009481","0.93545","1","1"
"800","EZB","EUR","SEK","80009479","0.93994","1","1"
"800","EZB","EUR","SEK","80009475","0.94473","1","1"
"800","EZB","EUR","SEK","80009473","0.94922","1","1"
"800","EZB","EUR","SEK","80009392","0.96937","1","1"
"800","EZB","EUR","SEK","80009570","0.94304","1","1"
"800","EZB","EUR","SEK","80009676","0.91777","1","1"
"800","EZB","EUR","SEK","80009675","0.91508","1","1"
"800","EZB","EUR","SEK","80009674","0.91760","1","1"
"800","EZB","EUR","SEK","80009673","0.92464","1","1"
"800","EZB","EUR","SEK","80009670","0.93528","1","1"
"800","EZB","EUR","SEK","80009669","0.93362","1","1"
"800","EZB","EUR","SEK","80009594","0.93006","1","1"
"800","EZB","EUR","SEK","80009593","0.93231","1","1"
"800","EZB","EUR","SEK","80009592","0.92490","1","1"
"800","EZB","EUR","SEK","80009587","0.92022","1","1"
"800","EZB","EUR","SEK","80009586","0.92894","1","1"
"800","EZB","EUR","SEK","80009585","0.92704","1","1"
"800","EZB","EUR","SEK","80009580","0.94020","1","1"
"800","EZB","EUR","SEK","80009579","0.93932","1","1"
"800","EZB","EUR","SEK","80009577","0.94509","1","1"
"800","EZB","EUR","SEK","80009573","0.94215","1","1"
"800","EZB","EUR","SEK","80009572","0.94073","1","1"
"800","EZB","EUR","SEK","80009571","0.93756","1","1"
"800","EZB","EUR","SEK","79999398","1.07181","1","1"
"800","EZB","EUR","SEK","79999373","1.07216","1","1"
"800","EZB","EUR","SEK","79999372","1.06372","1","1"
"800","EZB","EUR","SEK","79999468","1.07492","1","1"
"800","EZB","EUR","SEK","79999574","1.07504","1","1"
"800","EZB","EUR","SEK","79999572","1.09135","1","1"
"800","EZB","EUR","SEK","79999571","1.10072","1","1"
"800","EZB","EUR","SEK","79999497","1.09697","1","1"
"800","EZB","EUR","SEK","79999496","1.12196","1","1"
"800","EZB","EUR","SEK","79999490","1.11383","1","1"
"800","EZB","EUR","SEK","79999489","1.09806","1","1"
"800","EZB","EUR","SEK","79999488","1.10144","1","1"
"800","EZB","EUR","SEK","79999487","1.10754","1","1"
"800","EZB","EUR","SEK","79999484","1.09325","1","1"
