"105","M","FIM","IEP","80009898","1","1","EURO","00000000"
"519","1001","USD","DEM","81999898","1","1","","00000000"
"506","G","EUR","NLG","81999898","1","1","","00000000"
"105","M","FIM","ITL","80009898","1","1","EURO","00000000"
"519","1002","USD","DEM","81999898","1","1","","00000000"
"506","G","NLG","NLG","81999898","1","1","","00000000"
"105","M","FRF","FIM","80009898","1","1","EURO","00000000"
"519","1003","USD","DEM","81999898","1","1","","00000000"
"506","G","USD","BEF","81999898","1","1","","00000000"
"105","M","FRF","IEP","80009898","1","1","EURO","00000000"
"519","1004","USD","DEM","81999898","1","1","","00000000"
"506","G","USD","ESP","81999898","1","1","","00000000"
"105","M","FRF","ITL","80009898","1","1","EURO","00000000"
"519","200*","USD","DEM","81999898","1","1","","00000000"
"506","INT","AUD","BEF","81999898","1","1","","00000000"
"105","M","GBP","FIM","80009898","1","1","EURX","00000000"
"519","2001","USD","DEM","81999898","1","1","","00000000"
"506","INT","AUD","ESP","81999898","1","1","","00000000"
"105","M","GBP","IEP","80009898","1","1","EURX","00000000"
"519","2002","USD","DEM","81999898","1","1","","00000000"
"506","INT","BEF","BEF","81999898","1","1","","00000000"
"519","2003","USD","DEM","81999898","1","1","","00000000"
"105","M","GBP","ITL","80009898","1","1","EURX","00000000"
"519","2004","USD","DEM","81999898","1","1","","00000000"
"105","M","GRD","FIM","79989898","100","1","EURO","00000000"
"519","EURO","ATS","DEM","81999898","100","1","","00000000"
"105","M","GRD","FIM","80009898","100","1","EURX","00000000"
"519","EURO","BEF","DEM","81999898","100","1","","00000000"
"105","M","GRD","IEP","79989898","1","1","EURO","00000000"
"519","EURO","ESP","DEM","81999898","100","1","","00000000"
"105","M","GRD","IEP","80009898","1","1","EURX","00000000"
"519","EURO","EUR","DEM","81999898","1","1","","00000000"
"105","M","GRD","ITL","79989898","1","1","EURO","00000000"
"519","EURO","FIM","DEM","81999898","100","1","","00000000"
"105","M","GRD","ITL","80009898","1","1","EURX","00000000"
"519","EURO","FRF","DEM","81999898","100","1","","00000000"
"105","M","IEP","FIM","80009898","1","1","EURO","00000000"
"519","EURO","IEP","DEM","81999898","1","1","","00000000"
"105","M","IEP","ITL","80009898","1","1","EURO","00000000"
"519","EURO","ITL","DEM","81999898","1000","1","","00000000"
"105","M","ITL","FIM","80009898","100","1","EURO","00000000"
"519","EURO","LUF","DEM","81999898","100","1","","00000000"
"105","M","ITL","IEP","80009898","1","1","EURO","00000000"
"105","M","JPY","FIM","80009898","100","1","EURX","00000000"
"519","EURO","NLG","DEM","81999898","100","1","","00000000"
"105","M","JPY","IEP","80009898","1","1","EURX","00000000"
"519","EURO","PTE","DEM","81999898","100","1","","00000000"
"105","M","JPY","ITL","80009898","100","1","EURX","00000000"
"519","EURX","CAD","DEM","81999898","1","1","","00000000"
"105","M","LUF","FIM","80009898","1","1","EURO","00000000"
"519","EURX","CHF","DEM","81999898","100","1","","00000000"
"519","EURX","EUR","DEM","81999898","1","1","","00000000"
"105","M","LUF","IEP","80009898","1","1","EURO","00000000"
"519","EURX","GBP","DEM","81999898","1","1","","00000000"
"105","M","LUF","ITL","80009898","1","1","EURO","00000000"
"519","EURX","GRD","DEM","81999898","100","1","","00000000"
"105","M","NLG","FIM","80009898","1","1","EURO","00000000"
"519","EURX","HRK","DEM","81999898","100","1","","00000000"
"105","M","NLG","IEP","80009898","1","1","EURO","00000000"
"519","EURX","HUF","DEM","81999898","100","1","","00000000"
"519","EURX","JPY","DEM","81999898","100","1","","00000000"
"105","M","NLG","ITL","80009898","1","1","EURO","00000000"
"519","EURX","MXN","DEM","81999898","100","1","","00000000"
"105","M","NOK","FIM","80009898","1","1","EURX","00000000"
"519","EURX","NOK","DEM","81999898","100","1","","00000000"
"105","M","NOK","IEP","80009898","1","1","EURX","00000000"
"519","EURX","RUB","DEM","81999898","100","1","","00000000"
"105","M","NOK","ITL","80009898","1","1","EURX","00000000"
"519","EURX","SEK","DEM","81999898","100","1","","00000000"
"105","M","PTE","FIM","80009898","100","1","EURO","00000000"
"105","M","PTE","IEP","80009898","1","1","EURO","00000000"
"519","EURX","USD","DEM","81999898","1","1","","00000000"
"105","M","PTE","ITL","80009898","1","1","EURO","00000000"
"519","EURX","ZAR","DEM","81999898","1","1","","00000000"
"105","M","SEK","FIM","80009898","1","1","EURX","00000000"
"105","M","SEK","IEP","80009898","1","1","EURX","00000000"
"519","P","EUR","DEM","81999898","1","1","EURO","00000000"
"105","M","SEK","ITL","80009898","1","1","EURX","00000000"
"519","P","JPY","DEM","81999898","100","1","","00000000"
"105","M","USD","FIM","80009898","1","1","EURX","00000000"
"519","P","USD","DEM","81999898","1","1","","00000000"
"105","M","USD","IEP","80009898","1","1","EURX","00000000"
"522","EURO","ATS","DEM","81999898","100","1","","00000000"
"105","M","USD","ITL","80009898","1","1","EURX","00000000"
"522","EURO","BEF","DEM","81999898","100","1","","00000000"
"106","M","ATS","FIM","80009898","1","1","EURO","00000000"
"522","EURO","ESP","DEM","81999898","100","1","","00000000"
"106","M","ATS","IEP","80009898","1","1","EURO","00000000"
"522","EURO","EUR","DEM","81999898","1","1","","00000000"
"106","M","ATS","ITL","80009898","1","1","EURO","00000000"
"522","EURO","FIM","DEM","81999898","100","1","","00000000"
"106","M","BEF","FIM","80009898","1","1","EURO","00000000"
"522","EURO","FRF","DEM","81999898","100","1","","00000000"
"106","M","BEF","IEP","80009898","1","1","EURO","00000000"
"522","EURO","GRD","DEM","81999898","100","1","","00000000"
"106","M","BEF","ITL","80009898","1","1","EURO","00000000"
"106","M","CHF","FIM","80009898","1","1","EURX","00000000"
"506","INT","CAD","BEF","81999898","1","100","","00000000"
"522","EURO","IEP","DEM","81999898","1","1","","00000000"
"106","M","CHF","IEP","80009898","1","1","EURX","00000000"
"506","INT","CAD","ESP","81999898","1","100","","00000000"
"522","EURO","ITL","DEM","81999898","1000","1","","00000000"
"106","M","CHF","ITL","80009898","1","1","EURX","00000000"
"506","INT","DEM","BEF","81999898","1","100","","00000000"
"522","EURO","LUF","DEM","81999898","100","1","","00000000"
"106","M","DEM","IEP","80009898","1","1","EURO","00000000"
"506","INT","DEM","ESP","81999898","1","100","","00000000"
"522","EURO","NLG","DEM","81999898","100","1","","00000000"
"506","INT","DEM","NLG","81999898","1","1","","00000000"
"106","M","DEM","ITL","80009898","1","1","EURO","00000000"
"522","EURO","PTE","DEM","81999898","100","1","","00000000"
"506","INT","ESP","ESP","81999898","1","1","","00000000"
"522","EURX","CAD","DEM","81999898","1","1","","00000000"
"106","M","DKK","IEP","80009898","1","1","EURX","00000000"
"506","INT","EUR","BEF","81999898","1","100","","00000000"
"106","M","DKK","ITL","80009898","1","1","EURX","00000000"
"522","EURX","CHF","DEM","81999898","100","1","","00000000"
"506","INT","EUR","ESP","81999898","1","100","","00000000"
"522","EURX","EUR","DEM","81999898","1","1","","00000000"
"106","M","ESP","IEP","80009898","1","1","EURO","00000000"
"506","INT","EUR","NLG","81999898","1","1","","00000000"
"106","M","ESP","ITL","80009898","1","1","EURO","00000000"
"522","EURX","GBP","DEM","81999898","1","1","","00000000"
"506","INT","FRF","ESP","81999898","1","1","","00000000"
"106","M","FIM","ESP","80009898","1","1","EURO","00000000"
